"Toyota Taunton","51.475603934275675","-2.3807167145198114"
"Museum Inn","51.603983853765925","-1.966490826031952"
"SEPA Elgin","51.809000128941385","-1.9728064866937738"
"Joe Duffy BMW","51.76083376235179","-1.9124739696393003"
"Shire End Farm","51.90427880092351","-2.46748585928895"
"R132","51.44454163158845","-2.9072074023718075"
"Holmbush Inn","52.30418743274547","-1.7047559679077453"
"Thurrock Services M25 (South)","51.64014462399668","-2.5493613093965353"
"Q-Park Tower Bridge ","52.42787192694537","-2.0520321288332624"
"Castlecourt Hotel","52.31270710996189","-1.7541628122090536"
"Holiday Inn Elstree","51.58795710176158","-1.7527402677977824"
"Asda Hereford","52.08885085612758","-2.0610554621946577"
"Quadrus Centre","52.28296794387866","-2.045912871486983"
"Stonemasons Pub & Restaurant","51.85443117838337","-1.9430415713196942"
"The Pelican Inn","52.38684309363275","-1.6968599478542767"
"55 Palewell Park","51.966752292219","-2.615847070379249"
"106 The Barley Lea","51.583604111289404","-2.3027124985421388"
"8 Valmar Road ","51.76772910818258","-1.6564563638201744"
"50 Grantully Road","51.72063737275894","-2.511457070643442"
"Ballantrae","51.75423766830036","-2.2071371683602354"
"Nathaniel Cars ","51.85662496424187","-1.9285722578296374"
"65C Humbolt Road","51.73092908730628","-2.2633465823245382"
"6 Nansen Road","51.41743187735718","-1.9851265563344391"
"Soresby Street Car Park","51.80172829686616","-2.2045204804523366"
"Tesco Extra St Neots","52.030248824357045","-2.428483096422002"
"Howlands Park & Ride","51.73997770434523","-1.6347518101950502"
"Westcombe Park Road","52.15797826663754","-2.4532278752104846"
"St John's Road Car Park","51.609525153186915","-2.5557814597423554"
"8 Ullswater Road","51.595711485820395","-2.462711057701607"
"Hampshire Court Hotel","52.10296006893348","-2.1578386956266207"
"Grove Theatre","52.12532015950965","-1.969417107840794"
"George Street ","51.62084115172514","-2.309126239197342"
"60 Elms Crescent","51.64664077695676","-2.0591053555928034"
"Stockmore Street","52.0582350720799","-2.097994458465607"
"118 Lupus Street","52.1182517886594","-1.695313187215406"
"Holiday Inn Express Castle Bromwich","51.924482022231544","-1.9233472854164888"
"International House","51.79211162474526","-2.5525363134308416"
"40 Clarendon Drive ","51.89807263314772","-1.8596540916263176"
"Eton Avenue","52.376456494564295","-2.092338583950908"
"South Lotts Road","51.771536916093666","-1.742022601692283"
"27 Danson Lane","52.052196543422134","-2.1052343068323394"
"Park Road","52.09964582885896","-1.8669435876722005"
